Timestamp	LeftEyePosition3D.x	LeftEyePosition3D.y	LeftEyePosition3D.z	LeftEyePosition3DRelative.x	LeftEyePosition3DRelative.y	LeftEyePosition3DRelative.z	LeftGazePoint2D.x	LeftGazePoint2D.y	LeftGazePoint3D.x	LeftGazePoint3D.y	LeftGazePoint3D.z	LeftPupil	LeftValidity	RightEyePosition3D.x	RightEyePosition3D.y	RightEyePosition3D.z	RightEyePosition3DRelative.x	RightEyePosition3DRelative.y	RightEyePosition3DRelative.z	RightGazePoint2D.x	RightGazePoint2D.y	RightGazePoint3D.x	RightGazePoint3D.y	RightGazePoint3D.z	RightPupil	RightValidity	Vergence	FixationDist	EventTimeStamp	EventName	EventType	EventId	Code	Parameters	Value-trial-1	Value-trial-2
0	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	185.129	TrialEvent	0	START	8	mheight	33.2	33.2
8.5	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	1250.488	InputEvent	Mouse_DW	2	999	mpdist	60	60
16.8	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	1450.375	InputEvent	Mouse_UP	2	999	mvres	1080	1080
25.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	2982.844	InputEvent	Mouse_DW	4	4	framerate	60	60
33.7	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	5435.837	InputEvent	Mouse_UP	4	-4	bgcolor	"[0.8, 0.8, 0.8]"	"[0.8, 0.8, 0.8]"
42.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	5451.07	InputEvent	Mouse_DW	1	1	dotcolor	"[0.0, 0.0, 0.0]"	"[0.0, 0.0, 0.0]"
50.4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	6849.033	InputEvent	Mouse_UP	1	-1	timecurrenttrial	15	15
58.7	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	6888.383	InputEvent	Mouse_DW	4	4	eyetracker	1	1
66.9	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	10532.802	InputEvent	Mouse_DW	1	1	num_dots	350	750
75.2	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	10583.028	InputEvent	Mouse_UP	4	-4	tau	100	100
83.6	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	15231.288	InputEvent	Mouse_UP	1	-1	speed	15.32329288	15.32329288
92.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	15247.973	InputEvent	Mouse_DW	4	4	numtrials	2	2
100.4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	16808.881	InputEvent	Mouse_UP	4	-4	randomize_trials	0	0
108.7	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	15185.129	TrialEvent	0	END	-8	-	-	-
117.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	17515.516	InputEvent	Mouse_DW	2	999	-	-	-
125.4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	17688.783	InputEvent	Mouse_UP	2	999	-	-	-
134.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	17688.783	TrialEvent	1	START	8	-	-	-
142.4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	18340.429	InputEvent	Mouse_DW	4	4	-	-	-
150.7	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	21170.1	InputEvent	Mouse_DW	1	1	-	-	-
159.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	21203.428	InputEvent	Mouse_UP	4	-4	-	-	-
167.1	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	4	3.5522	0.613	23686.452	InputEvent	Mouse_UP	1	-1	-	-	-
